Original_Code,Correct_Descriptive_Name,Has_Text_Version
Q1,Country_Citizenship,False
Q2,Gender_Code,False
Q3,Age_Years,False
Q4,Country_Study,False
Q5,Institution_Name,False
Q6,Institution_Publicly_Funded,True
Q7,Student_Status_FullTime_PartTime,False
Q8,Study_Level_Code,False
Q9,FirstYear_Bachelor,True
Q10,Field_Of_Study,True
Q11,Learning_Method,True
Q12,Job_Confidence_After_Studies,False
Q13a,Used_ChatGPT_OpenAI,True
Q13b,Used_Microsoft_Copilot,True
Q13c,Used_Google_Gemini,True
Q13d,Used_Perplexity_AI,True
Q13e,Used_Claude_AI,True
Q13f,Used_Other_AI,True
Q13f_text,Used_Other_AI_Specify,False
Q14,ChatGPT_Version_Used,False
Q15,ChatGPT_Usage_Extent,True
Q16,ChatGPT_Experience_Rating,False
Q17,First_Learned_About_ChatGPT,False
Q18a,Freq_Academic_Writing,True
Q18b,Freq_Professional_Writing,True
Q18c,Freq_Creative_Writing,True
Q18d,Freq_Proofreading,True
Q18e,Freq_Brainstorming,True
Q18f,Freq_Translating,True
Q18g,Freq_Summarizing,True
Q18h,Freq_Calculating_Help,True
Q18i,Freq_Study_Assistance,True
Q18j,Freq_Personal_Assistance,True
Q18k,Freq_Research_Assistance,True
Q18l,Freq_Coding_Assistance,True
Q19a,Capability_Understand_Human_Language,True
Q19b,Capability_Respond_Human_Language,True
Q19c,Capability_Pleasant_Conversation,True
Q19d,Capability_Provide_Info_Efficiently,True
Q19e,Capability_Provide_Reliable_Info,True
Q19f,Capability_Summarize_Info,True
Q19g,Capability_Simplify_Complex_Info,True
Q19h,Capability_Facilitate_Traditional_Learning,True
Q19i,Capability_Facilitate_Online_Learning,True
Q19j,Capability_Facilitate_Blended_Learning,True
Q20,Institution_Has_AI_Policy,False
Q21a,Regulation_International_Necessary,True
Q21b,Regulation_Government_Necessary,True
Q21c,Regulation_University_Ethics_Necessary,True
Q21d,Regulation_Employer_Ethics_Necessary,True
Q22a,Concern_Encourage_Unethical_Behavior,True
Q22b,Concern_Encourage_Cheating,True
Q22c,Concern_Encourage_Plagiarism,True
Q22d,Concern_Threaten_Study_Ethics,True
Q22e,Concern_Mislead_Inaccurate_Info,True
Q22f,Concern_Invade_Privacy,True
Q22g,Concern_Reduce_Human_Interaction,True
Q22h,Concern_Replace_Formal_Education,True
Q22i,Concern_Increase_Social_Isolation,True
Q22j,Concern_Hinder_Learning,True
Q23a,Ethics_Consult_Professors,True
Q23b,Ethics_Disclose_Use_To_Professors,True
Q23c,Ethics_Report_Unethical_Use,True
Q23d,Ethics_Protect_Personal_Info,True
Q24a,Satisfaction_More_Useful_Than_Google,True
Q24b,Satisfaction_Easier_Than_Professors,True
Q24c,Satisfaction_Easier_Than_Colleagues,True
Q24d,Satisfaction_Clearer_Than_Professors,True
Q24e,Satisfaction_Level_Of_Assistance,True
Q24f,Satisfaction_Quality_Of_Info,True
Q24g,Satisfaction_Accuracy_Of_Info,True
Q25a,Attitude_Under_My_Control,True
Q25b,Attitude_Interesting_To_Me,True
Q25c,Attitude_Important_To_Me,True
Q25d,Attitude_Helps_Everyday_Life,True
Q26a,Benefit_Access_To_Knowledge,True
Q26b,Benefit_Improve_General_Knowledge,True
Q26c,Benefit_Improve_Specific_Knowledge,True
Q26d,Benefit_Personalized_Education,True
Q26e,Benefit_Study_Efficiency,True
Q26f,Benefit_Motivation_To_Study,True
Q26g,Benefit_Facilitate_Completing_Studies,True
Q26h,Benefit_Engagement_In_Class,True
Q26i,Benefit_Meet_Deadlines,True
Q26j,Benefit_Assignment_Quality,True
Q27a,Benefit_Readiness_For_Exams,True
Q27b,Benefit_Improve_Grades,True
Q27c,Benefit_Activities_Outside_Class,True
Q27d,Benefit_Facilitate_Internships,True
Q27e,Benefit_Learning_Experience,True
Q27f,Benefit_Improve_Skills,True
Q27g,Benefit_Personal_Development,True
Q27h,Benefit_Academic_Development,True
Q27i,Benefit_Study_Satisfaction,True
Q27j,Benefit_Employability,True
Q28a,Skill_Academic_Writing,True
Q28b,Skill_Professional_Writing,True
Q28c,Skill_Typing,True
Q28d,Skill_Native_Language,True
Q28e,Skill_Foreign_Language,True
Q28f,Skill_Interpersonal_Communication,True
Q28g,Skill_Digital_Communication,True
Q28h,Skill_Information_Literacy,True
Q28i,Skill_Digital_Content_Creation,True
Q29a,Skill_Numeracy,True
Q29b,Skill_Decision_Making,True
Q29c,Skill_Problem_Solving,True
Q29d,Skill_Analytical,True
Q29e,Skill_Critical_Thinking,True
Q29f,Skill_Creativity,True
Q29g,Skill_Data_Analysis,True
Q29h,Skill_Programming,True
Q29i,Skill_AI_Literacy,True
Q30a,Labour_Reduce_Jobs,True
Q30b,Labour_Require_New_Skills,True
Q30c,Labour_Enhance_HE_Connection,True
Q30d,Labour_Require_AI_Knowledge,True
Q30e,Labour_Increase_AI_Skills_Demand,True
Q30f,Labour_Increase_Age_Inequality,True
Q30g,Labour_Create_New_Jobs,True
Q30h,Labour_Change_Nature_Of_Jobs,True
Q30i,Labour_Facilitate_Remote_Work,True
Q30j,Labour_Reduce_Workload,True
Q30k,Labour_Improve_Productivity,True
Q30l,Labour_Improve_Innovation,True
Q31a,Mismatch_Reduce_Skills_Shortages,True
Q31b,Mismatch_Reduce_Under_Skilling,True
Q31c,Mismatch_Resolve_Skills_Obsolescence,True
Q31d,Mismatch_Resolve_Skills_Gaps,True
Q32a,Emotion_Bored,True
Q32b,Emotion_Hopeful,True
Q32c,Emotion_Sad,True
Q32d,Emotion_Ashamed,True
Q32e,Emotion_Calm,True
Q32f,Emotion_Angry,True
Q32g,Emotion_Relieved,True
Q32h,Emotion_Happy,True
Q32i,Emotion_Proud,True
Q32j,Emotion_Anxious,True
Q32k,Emotion_Surprised,True
Q32l,Emotion_Curious,True
Q32m,Emotion_Excited,True
Q32n,Emotion_Confused,True
Q32o,Emotion_Frustrated,True
Q33,Study_Difficulty_Level,False
Q34,Learning_Method_Most_Suitable,False
Q35a,Personal_Successful_In_Studies,True
Q35b,Personal_Attend_Classes,True
Q35c,Personal_Meet_Deadlines,True
Q35d,Personal_Grades_Reflect_Understanding,True
Q35e,Personal_Motivated_To_Study,True
Q35f,Personal_Financial_Aid_Sufficient,True
Q35g,Personal_Taxes_Too_High,True
Q35h,Personal_Social_Network_For_Employment,True
Q35i,Personal_Skills_For_Employment,True
Q35j,Personal_Work_Experience_Sufficient,True
Q35k,Personal_General_Knowledge_Sufficient,True
Q35l,Personal_Specific_Knowledge_Sufficient,True
Q35m,Personal_Faculty_Provides_Skills,True
Q35n,Personal_Want_Job_In_Field,True
Q36,Living_Area_Type,False
Q37,Receiving_Financial_Aid,True
Q38,Have_Job,True
Q39,Economic_Status,True
Q40a,Personality_Outgoing_Sociable,True
Q40b,Personality_Helpful_Unselfish,True
Q40c,Personality_Neat_Tidy,True
Q40d,Personality_Relaxed_Handles_Stress,True
Q40e,Personality_Curious,True
Q40f,Personality_Determined,True
Q40g,Personality_Respectful,True
Q40h,Personality_Persistent,True
Q40i,Personality_Secure_Comfortable,True
Q40j,Personality_Values_Art_Beauty,True
Q40k,Personality_Full_Of_Energy,True
Q40l,Personality_Assumes_Best,True
Q40m,Personality_Dependable,True
Q40n,Personality_Emotionally_Stable,True
Q40o,Personality_Original_New_Ideas,True
Q41,General_Views_About_ChatGPT,False
Q42,Email_For_Results,False
